Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Brand,Series,Mileage (kmpl),Engine (CC),Power (bhp)
Hyderabad,2012,54000,Diesel,Manual,First,5.0,4.25,Nissan,Micra,23.08,1461.0,63.1
Hyderabad,2013,54000,Petrol,Manual,Second,5.0,2.75,Maruti,Alto,20.92,998.0,67.1
Kochi,2018,37430,Petrol,Manual,First,5.0,9.9,Honda,WRV,17.5,1199.0,88.7
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7.0,4.0,Toyota,Innova,12.8,2494.0,102.0
Bangalore,2013,62000,Diesel,Manual,First,5.0,7.75,Renault,Duster,19.01,1461.0,108.45
Delhi,2012,87615,Petrol,Manual,First,5.0,6.75,Toyota,Corolla,14.53,1798.0,138.1
Bangalore,2013,72000,Diesel,Automatic,Second,7.0,12.5,Mahindra,Ssangyong,11.18,2696.0,184.0
Kolkata,2010,35000,Diesel,Automatic,First,5.0,11.5,Audi,A6,12.4,2698.0,179.5
Coimbatore,2014,55431,Petrol,Manual,Second,5.0,6.98,Volkswagen,Vento,16.09,1598.0,103.5
Jaipur,2009,83816,Petrol,Manual,Second,5.0,1.85,Maruti,Wagon,14.0,1061.0,64.0
Kochi,2018,50075,Diesel,Manual,First,5.0,8.63,Maruti,Vitara,24.3,1248.0,88.5
Delhi,2017,52000,Petrol,Manual,First,5.0,4.85,Mahindra,KUV,18.15,1198.0,82.0
Pune,2013,85000,Diesel,Automatic,First,5.0,28.0,Mercedes-Benz,M-Class,11.74,2987.0,254.8
Chennai,2013,62000,Diesel,Manual,First,5.0,5.0,Volkswagen,Polo,22.07,1199.0,73.9
Delhi,2008,90000,Petrol,Manual,Second,5.0,1.25,Maruti,Alto,19.7,796.0,46.3
Kochi,2014,19698,Petrol,Manual,First,4.0,1.53,Tata,Nano,25.4,624.0,37.5
Coimbatore,2017,22033,Diesel,Manual,First,6.0,5.58,Mahindra,KUV,25.32,1198.0,77.0
Kochi,2014,35487,Petrol,Manual,First,5.0,4.74,Hyundai,i20,18.5,1197.0,82.9
Bangalore,2014,46374,Petrol,Automatic,First,5.0,8.85,Hyundai,Elantra,14.62,1999.0,149.92
Mumbai,2016,52001,Petrol,Automatic,First,5.0,10.11,Toyota,Corolla,14.28,1798.0,138.03
Ahmedabad,2008,58005,Diesel,Manual,Second,5.0,4.25,Hyundai,Elantra,14.9,1991.0,112.2
Bangalore,2012,70704,Petrol,Manual,First,7.0,10.95,Toyota,Innova,11.25,2694.0,163.7
Jaipur,2014,75000,Diesel,Manual,First,5.0,3.85,Hyundai,Xcent,24.4,1120.0,71.0
Jaipur,2012,75800,Diesel,Manual,Second,6.0,5.5,Mahindra,Thar,16.55,2498.0,105.0
Kochi,2015,13648,Diesel,Automatic,First,5.0,21.43,Audi,A4,17.11,1968.0,174.33
Delhi,2014,52000,Diesel,Manual,First,5.0,4.25,Maruti,Swift,22.9,1248.0,74.0
Kolkata,2014,53000,Diesel,Manual,First,5.0,3.3,Maruti,Swift,17.8,1248.0,75.0
Delhi,2013,65650,Diesel,Manual,First,5.0,3.85,Maruti,Swift,28.4,1248.0,74.0
Chennai,2015,54000,Petrol,Manual,Third,5.0,3.6,Hyundai,Grand,18.9,1197.0,82.0
Kolkata,2015,39000,Petrol,Manual,First,5.0,3.99,Volkswagen,Vento,15.04,1598.0,103.2
Kochi,2017,16542,Petrol,Manual,First,5.0,3.3,Renault,KWID,25.17,799.0,53.3
Kolkata,2010,32000,Petrol,Manual,First,5.0,2.07,Hyundai,i10,20.36,1197.0,78.9
Hyderabad,2010,121812,Diesel,Automatic,First,5.0,7.75,Nissan,X-Trail,13.29,1995.0,147.6
Hyderabad,2010,39300,Petrol,Manual,First,5.0,2.25,Maruti,Zen,18.2,998.0,67.1
Mumbai,2017,22000,Diesel,Manual,First,8.0,16.5,Toyota,Innova,13.68,2393.0,147.8
Bangalore,2010,72000,Diesel,Manual,First,5.0,2.75,Ford,Figo,20.0,1399.0,68.0
Delhi,2015,58000,Petrol,Automatic,First,5.0,26.7,Mercedes-Benz,New,11.74,1796.0,186.0
Pune,2011,65000,Diesel,Manual,Second,5.0,10.0,Mercedes-Benz,New,15.8,2148.0,170.0
Chennai,2016,178000,Diesel,Manual,First,5.0,2.5,Tata,Indica,25.0,1396.0,69.0
Jaipur,2012,65664,Diesel,Automatic,First,5.0,13.5,Audi,A4,16.55,1968.0,140.0
Mumbai,2007,63000,Petrol,Automatic,Second,5.0,1.85,Honda,City,16.4,1497.0,78.0
Coimbatore,2019,15369,Diesel,Automatic,First,5.0,35.67,Mercedes-Benz,C-Class,,1950.0,194.0
Pune,2016,63000,Diesel,Manual,First,7.0,8.15,Maruti,Ertiga,24.52,1248.0,88.5
Mumbai,2018,13000,Diesel,Manual,First,5.0,10.5,Hyundai,Creta,22.1,1396.0,88.7
Mumbai,2008,73000,Petrol,Automatic,First,5.0,14.5,Porsche,Cayenne,8.5,4806.0,500.0
Mumbai,2015,55729,Diesel,Manual,First,7.0,9.65,Mahindra,XUV500,15.1,2179.0,140.0
Kochi,2012,45178,Petrol,Automatic,First,5.0,3.48,Hyundai,i10,16.95,1197.0,78.9
Kochi,2015,56066,Diesel,Manual,First,5.0,6.92,Nissan,Terrano,19.64,1461.0,108.5
Coimbatore,2016,37300,Petrol,Automatic,Second,5.0,6.46,Honda,Brio,16.5,1198.0,86.8
Delhi,2014,56000,Diesel,Automatic,Second,5.0,29.5,Audi,A6,18.53,1968.0,187.74
Jaipur,2008,111111,Diesel,Manual,First,5.0,2.0,Ford,Fiesta,17.8,1399.0,
Chennai,2006,230000,Petrol,Manual,Third,8.0,4.5,Toyota,Innova,12.4,1998.0,132.0
Hyderabad,2012,104000,Diesel,Manual,First,7.0,11.75,Toyota,Innova,12.8,2494.0,102.0
Hyderabad,2005,87591,Petrol,Manual,First,5.0,1.3,Hyundai,Santro,,1086.0,
Jaipur,2012,95100,Diesel,Manual,First,5.0,3.75,Maruti,Swift,22.9,1248.0,74.0
Pune,2017,70000,Petrol,Manual,First,5.0,4.5,Tata,Zest,17.57,1193.0,88.7
Kochi,2016,54944,Petrol,Manual,First,5.0,4.82,Honda,Amaze,18.0,1198.0,86.7
Hyderabad,2012,70337,Diesel,Manual,First,5.0,2.8,Ford,Figo,20.0,1399.0,68.0
Jaipur,2013,99638,Diesel,Manual,First,5.0,3.11,Maruti,Ritz,23.2,1248.0,73.94
Delhi,2009,52000,Petrol,Manual,First,5.0,3.25,Honda,City,17.8,1497.0,117.3
Delhi,2011,75000,Diesel,Automatic,Second,5.0,13.9,BMW,5,16.73,1995.0,218.0
Pune,2009,95980,Petrol,Manual,First,5.0,2.25,Hyundai,i10,20.36,1197.0,78.9
Bangalore,2016,16000,Petrol,Manual,First,5.0,5.75,Hyundai,Grand,18.9,1197.0,82.0
Hyderabad,2007,73745,Petrol,Manual,First,5.0,2.1,Hyundai,Santro,17.0,1086.0,
Mumbai,2016,18949,Petrol,Manual,First,5.0,5.0,Honda,Amaze,17.8,1198.0,86.7
Delhi,2014,107000,Diesel,Manual,First,7.0,16.5,Toyota,Fortuner,13.0,2982.0,168.5
Coimbatore,2018,48367,Diesel,Automatic,First,5.0,39.58,Audi,A6,17.68,1968.0,174.33
Delhi,2013,57000,Diesel,Manual,First,5.0,5.5,Ford,Ecosport,22.7,1498.0,89.84
Delhi,2014,58000,Diesel,Manual,First,7.0,8.1,Mahindra,XUV500,15.1,2179.0,140.0
Kolkata,2015,30000,Diesel,Manual,First,5.0,3.5,Honda,Amaze,25.8,1498.0,98.6
Kolkata,2013,34212,Diesel,Manual,First,5.0,2.79,Volkswagen,Polo,22.07,1199.0,73.9
Ahmedabad,2010,70002,Diesel,Manual,First,5.0,3.45,Hyundai,Verna,16.2,1493.0,110.0
Bangalore,2016,62000,Petrol,Manual,First,5.0,4.45,Maruti,Wagon,18.9,998.0,67.1
Delhi,2010,62001,Petrol,Manual,First,5.0,2.65,Volkswagen,Polo,15.26,1598.0,103.5
Pune,2011,78958,Diesel,Manual,Second,5.0,3.8,Hyundai,i20,23.0,1396.0,90.0
Mumbai,2014,30180,Petrol,Manual,First,5.0,4.65,Hyundai,i20,18.5,1197.0,82.85
Pune,2017,32851,Petrol,Manual,First,7.0,3.95,Datsun,GO,19.83,1198.0,67.0
Kolkata,2010,30000,Diesel,Automatic,First,5.0,9.8,Audi,A4,14.94,2967.0,241.4
Pune,2009,66000,Petrol,Manual,Second,5.0,2.7,Hyundai,i20,17.0,1197.0,80.0
Coimbatore,2010,93850,Petrol,Manual,First,5.0,2.41,Maruti,Omni,14.0,796.0,35.0
Ahmedabad,2014,53000,Petrol,Manual,First,5.0,3.9,Toyota,Etios,17.71,1197.0,78.9
Hyderabad,2011,78000,Diesel,Automatic,Second,5.0,24.0,Jaguar,XF,14.74,2993.0,270.9
Delhi,2012,65000,Diesel,Manual,Second,7.0,5.75,Mahindra,XUV500,16.0,2179.0,140.0
Kolkata,2014,40000,Diesel,Automatic,First,5.0,5.25,Hyundai,Verna,22.32,1582.0,126.32
Mumbai,2017,30000,Diesel,Automatic,First,7.0,19.25,Toyota,Innova,11.36,2755.0,171.5
Coimbatore,2017,38053,Petrol,Manual,First,5.0,3.91,Maruti,Eeco,15.1,1196.0,73.0
Bangalore,2014,25500,Petrol,Manual,First,4.0,2.15,Tata,Nano,25.4,624.0,37.5
Mumbai,2015,56087,Diesel,Automatic,First,5.0,20.75,BMW,3,22.69,1995.0,190.0
Delhi,2010,71088,Petrol,Manual,First,5.0,3.35,Honda,Civic,13.5,1799.0,130.0
Ahmedabad,2014,55000,Diesel,Manual,First,7.0,11.11,Toyota,Innova,12.99,2494.0,100.6
Bangalore,2014,32700,Diesel,Automatic,First,5.0,20.0,Volvo,V40,23.3,1984.0,150.0
Coimbatore,2016,39882,Petrol,Automatic,First,5.0,6.55,Nissan,Micra,19.15,1198.0,75.94
Mumbai,2009,128000,Petrol,Automatic,First,5.0,7.0,BMW,5,10.8,2497.0,215.0
Mumbai,2016,55000,Diesel,Manual,First,5.0,7.5,Maruti,Vitara,24.3,1248.0,88.5
Mumbai,2005,102000,Petrol,Manual,Second,5.0,0.85,Hyundai,Santro,17.0,1086.0,
Pune,2014,53753,Diesel,Automatic,Second,5.0,16.75,Mercedes-Benz,B,15.0,2143.0,107.3
Kolkata,2018,10250,Diesel,Manual,First,5.0,10.95,Hyundai,Verna,22.0,1582.0,126.2
Pune,2011,43874,Petrol,Manual,First,5.0,2.45,Maruti,Wagon,18.9,998.0,67.1
Coimbatore,2017,32684,Petrol,Automatic,First,4.0,3.23,Tata,Nano,21.9,624.0,37.48
Kolkata,2014,42000,Diesel,Manual,First,8.0,7.75,Mahindra,Scorpio,12.05,2179.0,120.0
Kolkata,2009,28352,Petrol,Automatic,First,5.0,9.35,Mercedes-Benz,New,11.7,1796.0,178.0
Pune,2013,89900,CNG,Manual,First,5.0,3.25,Maruti,Wagon,26.6,998.0,58.16
Bangalore,2007,47700,Petrol,Manual,Second,5.0,5.25,Honda,CR-V,10.8,2354.0,152.0
Pune,2015,55000,Diesel,Automatic,First,5.0,7.25,Volkswagen,Vento,21.21,1498.0,103.2
Kochi,2017,44285,Petrol,Manual,First,5.0,7.47,Maruti,Ciaz,20.73,1373.0,91.1
Jaipur,2016,54000,Diesel,Automatic,First,7.0,13.25,Mahindra,XUV500,16.0,2179.0,140.0
Coimbatore,2016,30232,Petrol,Manual,First,5.0,5.81,Maruti,Ritz,21.1,1197.0,85.8
Hyderabad,2014,88500,Petrol,Manual,First,5.0,2.6,Maruti,Alto,24.07,998.0,67.1
Kolkata,2017,13372,Petrol,Automatic,First,2.0,54.0,Mercedes-Benz,SLC,19.0,2996.0,362.07
Kochi,2019,12645,Petrol,Automatic,First,5.0,11.5,Hyundai,Verna,17.0,1591.0,121.3
Chennai,2010,94385,Petrol,Manual,Second,5.0,1.6,Maruti,Alto,19.7,796.0,46.3
Coimbatore,2015,31821,Diesel,Automatic,First,5.0,17.22,BMW,1,20.58,1995.0,143.0
Mumbai,2015,12000,Petrol,Automatic,First,5.0,6.0,Honda,Jazz,19.0,1199.0,88.7
Delhi,2012,88578,Petrol,Manual,First,5.0,3.95,Honda,Civic,13.5,1799.0,130.0
Kochi,2014,44965,Diesel,Automatic,First,5.0,17.95,Mercedes-Benz,New,19.27,2143.0,170.0
Kolkata,2014,45044,Diesel,Manual,First,5.0,3.7,Honda,Amaze,25.8,1498.0,98.6
Kochi,2016,34204,Petrol,Manual,First,5.0,5.43,Maruti,Swift,22.0,1197.0,81.8
Kochi,2008,80759,Petrol,Manual,Third,5.0,1.67,Hyundai,Santro,17.0,1086.0,
Coimbatore,2012,91235,Diesel,Manual,First,7.0,13.49,Toyota,Fortuner,11.5,2982.0,171.0
Pune,2014,38800,Petrol,Manual,First,5.0,2.85,Chevrolet,Beat,18.6,1199.0,76.8
Chennai,2013,83000,Diesel,Manual,First,5.0,4.75,Skoda,Rapid,21.14,1498.0,103.52
Kochi,2018,41283,Petrol,Manual,First,5.0,9.9,Maruti,Ciaz,20.73,1373.0,91.1
Mumbai,2013,23000,Petrol,Automatic,First,4.0,37.0,Audi,RS5,11.05,2894.0,444.0
Mumbai,2014,48000,Diesel,Automatic,First,5.0,26.5,BMW,3,21.76,1995.0,190.0
Coimbatore,2015,48214,Diesel,Automatic,First,5.0,23.32,Audi,A4,17.11,1968.0,174.33
Chennai,2016,35000,Diesel,Manual,First,5.0,6.25,Maruti,Swift,22.9,1248.0,74.0
Kolkata,2010,35277,Petrol,Automatic,First,5.0,30.0,Mercedes-Benz,S,7.81,5461.0,362.9
Coimbatore,2016,54620,Diesel,Automatic,First,5.0,9.86,Skoda,Rapid,21.66,1498.0,103.52
Pune,2012,136997,Diesel,Automatic,First,5.0,8.5,Skoda,Superb,17.2,1968.0,138.1
Kochi,2019,14322,Petrol,Manual,First,5.0,4.23,Hyundai,EON,21.1,814.0,55.2
Jaipur,2012,65634,Diesel,Manual,First,5.0,3.5,Volkswagen,Polo,22.07,1199.0,73.9
Kolkata,2016,6000,Petrol,Manual,First,5.0,2.5,Datsun,GO,20.63,1198.0,67.06
Kolkata,2013,33280,Petrol,Manual,First,5.0,2.39,Honda,Brio,19.4,1198.0,86.8
Delhi,2013,29000,Petrol,Automatic,First,5.0,11.25,Mercedes-Benz,B,14.8,1595.0,120.7
Kochi,2015,42831,Diesel,Manual,First,5.0,7.11,Honda,City,26.0,1498.0,98.6
Ahmedabad,2016,90000,Diesel,Manual,First,7.0,10.9,Toyota,Innova,12.99,2494.0,100.6
Ahmedabad,2017,24005,Petrol,Manual,First,5.0,6.2,Maruti,Swift,20.4,1197.0,81.8
Mumbai,2012,32792,Diesel,Manual,First,7.0,7.9,Mahindra,XUV500,15.1,2179.0,140.0
Kochi,2014,147898,Diesel,Manual,First,5.0,4.42,Ford,Ecosport,22.7,1498.0,89.84
Mumbai,2012,131765,Diesel,Manual,First,7.0,13.5,Toyota,Fortuner,13.0,2982.0,168.5
Chennai,2013,65000,Diesel,Automatic,First,5.0,6.25,Volkswagen,Vento,21.5,1498.0,108.5
Jaipur,2010,66123,Diesel,Manual,Second,5.0,2.1,Ford,Figo,20.0,1399.0,68.0
Mumbai,2015,41000,Diesel,Automatic,First,5.0,45.0,BMW,X5,15.3,2993.0,258.0
Coimbatore,2017,23550,Diesel,Automatic,First,5.0,33.66,Mercedes-Benz,New,19.27,2143.0,167.62
Bangalore,2012,45000,Petrol,Manual,Second,5.0,3.65,Honda,Brio,19.4,1198.0,86.8
Delhi,2013,60000,Petrol,Manual,First,5.0,2.75,Hyundai,i10,20.36,1197.0,78.9
Bangalore,2016,44414,Diesel,Automatic,First,5.0,42.5,Mercedes-Benz,GLC,17.9,2143.0,170.0
Kolkata,2019,1000,Petrol,Manual,First,5.0,6.5,Hyundai,Grand,18.9,1197.0,81.86
Mumbai,2012,62500,Diesel,Automatic,Second,5.0,19.0,Audi,A6,17.68,1968.0,174.33
Mumbai,2013,21000,Petrol,Automatic,Second,5.0,4.45,Volkswagen,Vento,14.4,1598.0,103.6
Jaipur,2017,8525,Diesel,Automatic,Second,5.0,23.0,Mini,Countryman,16.6,1998.0,112.0
Bangalore,2014,29000,Diesel,Manual,First,5.0,8.35,Hyundai,i20,22.54,1396.0,88.73
Mumbai,2014,40000,Diesel,Automatic,First,5.0,22.95,Audi,A6,17.68,1968.0,174.33
Jaipur,2012,88000,Diesel,Manual,First,5.0,1.5,Chevrolet,Beat,25.44,936.0,57.6
Kochi,2012,53537,Petrol,Automatic,First,5.0,6.89,Skoda,Superb,13.7,1798.0,157.75
Chennai,2006,216000,Diesel,Manual,Second,5.0,1.45,Ford,Fiesta,17.8,1399.0,68.0
Hyderabad,2014,51000,Diesel,Automatic,First,5.0,33.5,BMW,5,22.48,1995.0,190.0
Jaipur,2007,118500,Petrol,Manual,First,5.0,1.25,Chevrolet,Optra,12.9,1598.0,102.5
Hyderabad,2012,63000,Diesel,Manual,First,5.0,4.2,Volkswagen,Polo,22.07,1199.0,73.9
Mumbai,2015,25000,Diesel,Manual,First,8.0,6.75,Renault,Lodgy,19.98,1461.0,108.5
Bangalore,2014,37382,Diesel,Automatic,First,5.0,32.0,Mercedes-Benz,E-Class,13.0,2143.0,201.1
Kochi,2017,24773,Petrol,Manual,First,5.0,7.5,Maruti,Baleno,21.4,1197.0,83.1
Delhi,2012,62000,Diesel,Manual,First,5.0,4.6,Hyundai,Verna,22.32,1582.0,126.32
Kochi,2017,52340,Petrol,Manual,First,5.0,4.04,Hyundai,i10,19.81,1086.0,68.05
Kochi,2016,56739,Diesel,Manual,First,7.0,10.31,Mahindra,Scorpio,15.4,1997.0,120.0
Coimbatore,2018,36091,Diesel,Automatic,First,5.0,55.76,Land,Rover,12.7,2179.0,187.7
Chennai,2010,120000,Diesel,Manual,First,5.0,2.6,Ford,Figo,20.0,1399.0,68.0
Mumbai,2016,33000,Diesel,Manual,First,7.0,8.5,Maruti,Ertiga,25.47,1248.0,88.5
Ahmedabad,2007,60006,Petrol,Manual,First,,2.95,Honda,City,,,
Kolkata,2014,52000,Diesel,Manual,First,5.0,3.5,Honda,Amaze,25.8,1498.0,98.6
Jaipur,2015,43571,Petrol,Manual,First,5.0,3.55,Hyundai,i10,20.36,1197.0,78.9
Kolkata,2013,50000,Diesel,Manual,First,5.0,3.25,Honda,Amaze,25.8,1498.0,98.6
Hyderabad,2008,113000,Diesel,Manual,First,5.0,4.5,Skoda,Laura,17.5,1896.0,106.0
Delhi,2014,90000,Diesel,Manual,First,5.0,5.35,Renault,Duster,19.87,1461.0,83.8
Chennai,2017,29000,Diesel,Manual,Second,7.0,6.5,Mahindra,NuvoSport,17.45,1493.0,100.0
Mumbai,2016,20000,Diesel,Manual,First,5.0,9.0,Maruti,Vitara,24.3,1248.0,88.5
Kochi,2016,61012,Petrol,Manual,First,5.0,6.0,Hyundai,i20,18.6,1197.0,81.83
Jaipur,2009,87459,Petrol,Manual,First,5.0,2.75,Skoda,Fabia,14.7,1390.0,85.0
Pune,2010,70500,Petrol,Manual,First,5.0,1.5,Tata,Indigo,15.64,1193.0,64.1
Delhi,2015,64103,Diesel,Automatic,First,5.0,19.9,Audi,Q3,15.73,1968.0,174.33
Mumbai,2014,76000,Petrol,Automatic,First,5.0,10.0,Skoda,Octavia,14.7,1798.0,177.5
Delhi,2014,104000,Diesel,Manual,First,5.0,3.0,Toyota,Etios,23.59,1364.0,67.06
Kolkata,2010,42001,Petrol,Manual,First,,2.11,Maruti,Swift,16.1,,
Kochi,2014,37245,Petrol,Automatic,First,5.0,11.96,Mercedes-Benz,B,14.8,1595.0,120.7
Kolkata,2013,45000,Diesel,Manual,First,5.0,3.25,Honda,Amaze,27.4,1498.0,98.6
Jaipur,2012,117837,Diesel,Manual,Second,5.0,4.75,Hyundai,Verna,22.32,1582.0,126.32
Mumbai,2014,30000,Diesel,Manual,First,5.0,5.95,Renault,Duster,20.46,1461.0,83.8
Delhi,2015,27057,Petrol,Manual,Second,5.0,8.15,Hyundai,Creta,15.29,1591.0,121.3
Mumbai,2016,8500,Petrol,Automatic,First,5.0,4.22,Maruti,Wagon,20.51,998.0,67.0
Kolkata,2010,30500,Petrol,Automatic,First,5.0,10.5,Mercedes-Benz,New,11.74,1796.0,186.0
Delhi,2012,56000,Diesel,Automatic,First,5.0,45.0,Audi,A8,11.8,2967.0,246.7
Pune,2012,44000,Petrol,Manual,Second,5.0,2.9,Hyundai,i10,19.81,1086.0,68.05
Mumbai,2017,10500,Petrol,Automatic,First,5.0,8.9,Skoda,Rapid,14.3,1598.0,103.52
Hyderabad,2017,26000,Petrol,Automatic,First,5.0,26.0,Skoda,Superb,14.67,1798.0,177.46
Coimbatore,2018,25166,Petrol,Manual,First,5.0,8.22,Hyundai,i20,17.19,1197.0,81.86
Kolkata,2014,64000,Diesel,Manual,Second,5.0,3.5,Honda,Amaze,25.8,1498.0,98.6
Chennai,2004,61000,Petrol,Manual,Second,5.0,1.25,Maruti,Wagon,18.9,998.0,67.1
Hyderabad,2013,107000,Diesel,Manual,First,5.0,3.7,Mahindra,Verito,21.03,1461.0,65.0
Coimbatore,2018,29161,Diesel,Automatic,First,5.0,39.41,Mercedes-Benz,New,19.27,2143.0,167.62
Kolkata,2013,32000,Petrol,Manual,First,5.0,2.65,Maruti,Wagon,22.5,998.0,67.04
Coimbatore,2015,46173,Diesel,Manual,Second,5.0,8.92,Nissan,Terrano,19.01,1461.0,108.5
Delhi,2013,47000,Diesel,Manual,First,5.0,4.1,Maruti,Swift,17.8,1248.0,
Kochi,2017,26327,Petrol,Automatic,First,4.0,35.67,Mini,Cooper,16.82,1998.0,189.08
Bangalore,2015,70436,Diesel,Manual,First,,3.6,Ford,Figo,,1498.0,99.0
Jaipur,2007,200000,Diesel,Manual,Second,5.0,0.85,Tata,Indica,17.2,1396.0,53.5
Kochi,2016,60813,Petrol,Manual,Second,5.0,3.32,Chevrolet,Beat,18.6,1199.0,76.8
Mumbai,2012,45000,Diesel,Manual,First,5.0,3.6,Volkswagen,Polo,22.07,1199.0,73.9
Hyderabad,2016,64000,Diesel,Manual,First,5.0,6.8,Maruti,Swift,22.9,1248.0,74.0
Kolkata,2012,41284,Diesel,Manual,First,5.0,2.5,Ford,Figo,20.0,1399.0,68.05
Kochi,2019,14165,Diesel,Automatic,First,7.0,19.64,Toyota,Innova,11.36,2755.0,171.5
Mumbai,2011,67000,Diesel,Automatic,Second,7.0,7.0,Hyundai,Santa,11.72,2199.0,194.3
Kolkata,2011,32572,Petrol,Manual,First,5.0,3.87,Honda,City,17.4,1497.0,117.3
Kochi,2018,14960,Petrol,Manual,First,5.0,6.27,Hyundai,i20,18.6,1197.0,81.83
Kochi,2015,55980,Diesel,Automatic,First,5.0,18.12,Mercedes-Benz,New,19.27,2143.0,167.62
Mumbai,2013,74000,Diesel,Manual,First,5.0,2.65,Chevrolet,Beat,25.44,936.0,57.6
Kochi,2015,56847,Diesel,Manual,First,5.0,7.2,Hyundai,i20,22.54,1396.0,88.73
Coimbatore,2015,121374,Diesel,Manual,First,7.0,14.3,Toyota,Innova,12.99,2494.0,100.6
Chennai,2013,52000,Diesel,Manual,First,7.0,6.9,Maruti,Ertiga,20.77,1248.0,88.76
Mumbai,2014,118000,Diesel,Manual,First,7.0,10.75,Toyota,Innova,12.8,2494.0,102.0
Mumbai,2007,72000,Petrol,Manual,Third,5.0,0.95,Hyundai,Santro,17.0,1086.0,
Kochi,2016,33915,Petrol,Manual,First,5.0,8.09,Honda,City,17.8,1497.0,117.3
Ahmedabad,2014,82002,Diesel,Automatic,First,5.0,18.5,BMW,X1,17.05,1995.0,184.0
Mumbai,2017,33000,Diesel,Manual,First,5.0,4.75,Hyundai,Grand,24.0,1120.0,70.0
Chennai,2016,34000,Diesel,Manual,First,5.0,8.45,Maruti,Ciaz,28.09,1248.0,88.5
Kolkata,2012,55000,Diesel,Manual,First,5.0,3.5,Skoda,Rapid,20.5,1598.0,103.6
Kochi,2006,160538,Diesel,Manual,First,5.0,1.8,Hyundai,Accent,13.1,1493.0,82.0
Jaipur,2014,60000,Diesel,Manual,Second,5.0,3.7,Volkswagen,Polo,19.91,1498.0,103.6
Coimbatore,2017,49575,Petrol,Manual,First,5.0,7.17,Honda,Jazz,18.7,1199.0,88.7
Jaipur,2010,83000,Petrol,Manual,First,5.0,1.75,Hyundai,i10,19.81,1086.0,68.05
Kochi,2018,51346,Diesel,Automatic,First,5.0,21.99,Hyundai,Tucson,16.38,1995.0,183.0
Pune,2017,43000,Diesel,Manual,First,7.0,18.65,Toyota,Innova,13.68,2393.0,147.8
Jaipur,2011,35000,Petrol,Manual,Third,5.0,1.85,Maruti,Omni,19.7,796.0,35.0
Coimbatore,2017,27872,Petrol,Manual,Second,5.0,5.95,Maruti,Swift,20.4,1197.0,81.8
